"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Heredia, Guillermo",628338,2018,"2","4","0","0","0","0","1","0","0","2","0","0",,"1"
"Ramirez, Hanley",434670,2018,"4","1","0","0","0","0","0","0","0","3","1","0",,"0"
"Zunino, Mike",572287,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Maeda, Kenta",628317,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Bregman, Alex",608324,2018,"10","1","2","1","1","0","2","0","0","9","1","0",,"2"
"Maldonado, Martín",455117,2018,"0","0","1","0","0","0","0","1","0","0","0","0",,"1"
"Garcia, Leury",544725,2018,"12","1","0","0","0","0","0","0","0","9","3","0",,"0"
"Almonte, Abraham",501659,2018,"2","2","0","0","0","0","1","0","0","2","0","0",,"1"
"Reddick, Josh",502210,2018,"7","2","0","0","1","0","1","0","1","4","3","0",,"2"
"Cabrera, Asdrúbal",452678,2018,"0","0","0","0","0","0","1","0","0","0","0","0",,"1"
"Iglesias, Jose",578428,2018,"15","6","0","0","0","0","0","0","0","14","1","0",,"0"
"Lopez, Raffy",607257,2018,"1","0","0","0","1","0","0","0","0","1","0","0",,"0"
"Díaz, Yandy",650490,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Mesoraco, Devin",519023,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Jackson, Austin",457706,2018,"3","3","0","0","2","0","1","0","0","3","0","0",,"1"
"Murphy, Daniel",502517,2018,"3","0","0","0","0","0","0","0","0","3","0","0",,"0"
"Tucker, Preston",605512,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Pederson, Joc",592626,2018,"1","4","0","1","0","0","1","0","1","1","0","0",,"2"
"Refsnyder, Rob",608701,2018,"0","2","0","0","0","0","1","0","0","0","0","0",,"1"
"Evans, Phillip",595943,2018,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Rodríguez, Sean",446481,2018,"1","0","0","0","1","0","0","0","0","1","0","0",,"0"
"Ohtani, Shohei",660271,2018,"10","2","2","0","0","0","1","0","0","8","2","0",,"1"
"Abreu, José",547989,2018,"2","0","0","0","2","0","0","0","0","1","1","0",,"0"
"Cueto, Johnny",456501,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Gómez, Carlos",460576,2018,"12","2","1","0","0","0","0","0","0","11","1","0",,"0"
"Roark, Tanner",543699,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Ryu, Hyun Jin",547943,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Ellis, A.J.",454560,2018,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Difo, Wilmer",594694,2018,"10","2","1","0","0","0","2","0","0","10","0","0",,"2"
