"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Quinn, Roman",596451,2020,"12","0","0","0","0","0","1","0","0","11","1","0",,"1"
"Cruz Jr., Nelson",443558,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Cabrera, Miguel",408234,2020,"1","0","0","0","0","0","0","0","0","0","1","0",,"0"
"Allen, Greg",656185,2020,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"LeMahieu, DJ",518934,2020,"3","0","0","0","1","0","0","0","0","2","1","0",,"0"
"Gurriel Jr., Yuli",493329,2020,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"González, Erik",570481,2020,"2","2","1","0","0","0","0","0","0","1","1","0",,"0"
"Gregorius, Didi",544369,2020,"3","2","0","0","1","0","1","0","0","3","0","0",,"1"
"Ramírez, José",608070,2020,"10","1","1","1","0","0","1","1","0","8","2","0",,"2"
"Adams, Matt",571431,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Soto, Juan",665742,2020,"5","2","0","0","1","0","0","0","0","6","0","0",,"0"
"Heath, Nick",670084,2020,"2","2","0","0","0","0","0","0","0","1","1","0",,"0"
"Jones, JaCoby",592444,2020,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Chisholm Jr., Jazz",665862,2020,"2","2","0","0","0","0","1","0","0","2","0","0",,"1"
"Canó, Robinson",429664,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Pederson, Joc",592626,2020,"1","0","0","0","1","0","0","0","0","1","0","0",,"0"
"Reddick, Josh",502210,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Walker, Christian",572233,2020,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Franco, Maikel",596748,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"McNeil, Jeff",643446,2020,"0","2","0","0","0","0","1","0","0","0","0","0",,"1"
"Adell, Jo",666176,2020,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Arraez, Luis",650333,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Chirinos, Robinson",455139,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Fuentes, Joshua",658069,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Taylor, Beau",607333,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Rodríguez, Sean",446481,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Akiyama, Shogo",673451,2020,"7","3","0","0","0","0","1","0","0","7","0","0",,"1"
"Pence, Hunter",452254,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Hoerner, Nico",663538,2020,"3","2","0","0","0","0","0","0","0","3","0","0",,"0"
"Dixon, Brandon",641525,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Cespedes, Yoenis",493316,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Perez, Salvador",521692,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Smith, Pavin",656976,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Anderson, Tim",641313,2020,"5","2","0","0","0","0","1","1","0","5","0","0",,"2"
"Bote, David",623520,2020,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Mercado, Óscar",640458,2020,"3","0","0","0","0","0","0","0","0","3","0","0",,"0"
"Núñez, Renato",600524,2020,"0","0","0","0","4","0","0","0","0","0","0","0",,"0"
"Jeffers, Ryan",680777,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Lopes, Tim",621005,2020,"5","0","0","0","0","0","0","0","0","5","0","0",,"0"
"Cordero, Franchy",614173,2020,"1","0","0","0","1","0","0","0","0","1","0","0",,"0"
"Pollock, AJ",572041,2020,"2","1","1","0","2","0","1","0","0","2","0","0",,"1"
"Suzuki, Kurt",435559,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Garlick, Kyle",664247,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Díaz, Aledmys",649557,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Vogt, Stephen",519390,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Giménez, Andrés",665926,2020,"8","1","0","0","0","0","2","0","0","8","0","0",,"2"
"Higashioka, Kyle",543309,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Hosmer, Eric",543333,2020,"4","0","0","0","0","0","0","0","0","4","0","0",,"0"
"Espinal, Santiago",669289,2020,"1","0","0","0","0","0","0","0","0","0","1","0",,"0"
"Almora Jr., Albert",546991,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Cooper, Garrett",643265,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Wade Jr., LaMonte",664774,2020,"1","1","0","0","1","0","1","0","0","1","0","0",,"1"
"Aguilar, Jesús",542583,2020,"0","0","1","0","0","0","0","0","0","0","0","0",,"0"
"Cabrera, Asdrúbal",452678,2020,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Biggio, Cavan",624415,2020,"6","0","0","0","0","0","0","0","0","4","2","0",,"0"
"Moncada, Yoán",660162,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Heineman, Tyler",623168,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Tauchman, Mike",643565,2020,"6","0","0","0","0","0","0","0","0","5","1","0",,"0"
"Soler, Jorge",624585,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Kemp, Matt",461314,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Brinson, Lewis",621446,2020,"4","0","0","0","0","0","0","0","0","4","0","0",,"0"
"Estrada, Thairo",642731,2020,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Pujols, Albert",405395,2020,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
