"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Rendon, Anthony",543685,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Gregorius, Didi",544369,2021,"3","0","0","0","0","0","0","0","0","3","0","0",,"0"
"Eaton, Adam",594809,2021,"3","0","0","0","0","0","0","0","0","3","0","0",,"0"
"Villar, Jonathan",542340,2021,"14","6","1","0","1","0","5","1","1","12","2","0",,"7"
"Rojas, Josh",668942,2021,"9","4","0","0","2","0","1","0","0","9","0","0",,"1"
"Yastrzemski, Mike",573262,2021,"4","0","0","0","0","0","1","0","0","4","0","0",,"1"
"Wilkerson, Stevie",592859,2021,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Moore, Dylan",664238,2021,"21","5","0","0","0","0","2","0","0","18","3","0",,"2"
"Peters, DJ",656847,2021,"2","0","0","0","1","0","0","0","0","2","0","0",,"0"
"Smith, Riley",642092,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Culberson, Charlie",518586,2021,"7","1","0","0","0","0","0","0","0","6","1","0",,"0"
"Velasquez, Vince",592826,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Wood, Alex",622072,2021,"0","0","1","0","0","0","0","0","0","0","0","0",,"0"
"Moreland, Mitch",519048,2021,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Peterson, Jace",607054,2021,"10","0","1","0","1","0","0","0","0","10","0","0",,"0"
"Wong, Kean",642221,2021,"0","1","0","0","1","0","1","0","0","0","0","0",,"1"
"Ahmed, Nick",605113,2021,"7","2","0","0","1","0","0","0","0","5","2","0",,"0"
"López, Pablo",641154,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Ruiz, Keibert",660688,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Choi, Ji Man",596847,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Oviedo, Johan",670912,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Moran, Colin",592567,2021,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Hill, Derek",656537,2021,"6","2","1","0","2","0","2","0","0","5","1","0",,"2"
"Torreyes, Ronald",591720,2021,"2","1","0","0","1","0","0","0","0","2","0","0",,"0"
"Sampson, Adrian",592716,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Correa, Carlos",621043,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Tsutsugo, Yoshi",660294,2021,"0","1","0","0","0","0","1","0","0","0","0","0",,"1"
"Heredia, Guillermo",628338,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Castro, Starlin",516770,2021,"0","1","0","0","0","0","1","0","0","0","0","0",,"1"
"Bolt, Skye",621450,2021,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Gallagher, Cam",595956,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Adams, Riley",656180,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Calhoun, Kole",594777,2021,"1","0","0","0","0","0","0","0","0","0","1","0",,"0"
"Mayfield, Jack",608686,2021,"5","0","0","0","0","0","0","0","0","5","0","0",,"0"
"Kiermaier, Kevin",595281,2021,"9","5","0","0","0","0","0","0","0","8","1","0",,"0"
"Long, Sam",669674,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Meyers, Jake",676694,2021,"3","0","0","0","0","0","0","0","0","3","0","0",,"0"
"Castro, Harold",605612,2021,"1","1","0","0","1","0","1","0","0","1","0","0",,"1"
"Miller, Brian",675649,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Siri, Jose",642350,2021,"3","1","0","0","0","0","0","0","0","3","0","0",,"0"
"Chang, Yu",644374,2021,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Herrera, Odúbel",546318,2021,"6","1","0","0","0","0","0","0","0","6","0","0",,"0"
"Castillo, Luis",622491,2021,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Duggar, Steven",621453,2021,"7","0","0","0","3","0","0","0","0","7","0","0",,"0"
