"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Stanton, Giancarlo",519317,2023,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Blackmon, Charlie",453568,2023,"4","1","0","0","2","0","0","0","0","2","2","0",,"0"
"Haase, Eric",606992,2023,"4","1","0","0","0","0","0","0","0","4","0","0",,"0"
"Brantley Jr., Michael",488726,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Encarnacion-Strand, Christian",687952,2023,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Tromp, Chadwick",644433,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Alberto, Hanser",593643,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Lindor, Francisco",596019,2023,"31","3","1","0","0","0","2","0","0","23","7","1",,"2"
"Wall, Forrest",657088,2023,"5","1","0","0","0","0","0","0","0","4","1","0",,"0"
"Burdick, Peyton",680814,2023,"1","0","0","0","0","0","0","0","0","0","1","0",,"0"
"Peraza, Oswald",672724,2023,"4","3","0","0","1","0","3","0","0","4","0","0",,"3"
"Caminero, Junior",691406,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Bohm, Alec",664761,2023,"4","1","0","0","0","0","1","0","0","4","0","0",,"1"
"Murphy, Sean",669221,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Hall, Darick",669742,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Soto, Livan",670869,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Kirilloff, Alex",666135,2023,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Newman, Kevin",621028,2023,"8","1","0","0","0","0","0","0","0","6","2","0",,"0"
"Naylor, Bo",666310,2023,"5","0","0","0","0","0","0","0","0","5","0","0",,"0"
"Hosmer, Eric",543333,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Clemens, Kody",665019,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Wendle, Joey",621563,2023,"7","1","0","0","1","0","1","0","0","6","1","0",,"1"
"Bichette, Bo",666182,2023,"5","3","0","0","0","0","0","0","0","5","0","0",,"0"
"Garcia, Maikel",672580,2023,"23","3","4","0","0","0","2","1","1","17","6","0",,"4"
"Frazier, Adam",624428,2023,"11","4","0","0","0","0","0","0","0","10","1","0",,"0"
"Fletcher, Dominic",666150,2023,"0","2","0","0","1","0","0","0","0","0","0","0",,"0"
"Caratini, Victor",605170,2023,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Baty, Brett",683146,2023,"2","0","0","0","1","0","0","0","0","2","0","0",,"0"
"Taylor, Tyrone",621438,2023,"9","0","0","0","0","0","0","0","0","8","1","0",,"0"
"Baker, Luken",663609,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"García, Luis",671277,2023,"9","4","0","0","0","0","3","0","0","8","0","1",,"3"
"Villar, David",681584,2023,"1","1","0","0","0","0","0","0","0","1","0","0",,"0"
"Blankenhorn, Travis",663905,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Nevin, Tyler",663527,2023,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Berti, Jon",542932,2023,"16","5","0","1","3","0","2","0","0","13","3","0",,"2"
"Ozuna, Marcell",542303,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Serven, Brian",661531,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Guthrie, Dalton",656495,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Benson, Will",666181,2023,"19","2","1","0","0","0","1","0","0","17","2","0",,"1"
"Urshela, Gio",570482,2023,"3","2","0","0","1","0","1","0","0","3","0","0",,"1"
"Pederson, Joc",592626,2023,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Stefanic, Michael",683021,2023,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Duran, Jarren",680776,2023,"24","2","0","0","2","0","3","0","0","23","1","0",,"3"
"Abrams, CJ",682928,2023,"47","3","1","0","2","0","2","1","0","40","6","1",,"3"
"Cron, C.J.",543068,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Lawlar, Jordan",691783,2023,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Basabe, Osleivis",678545,2023,"0","1","0","0","0","0","1","0","0","0","0","0",,"1"
"Estrada, Thairo",642731,2023,"23","5","1","1","1","0","0","0","0","23","0","0",,"0"
"Soderstrom, Tyler",691016,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Lee, Korey",686676,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Varsho, Daulton",662139,2023,"16","7","0","0","3","0","3","0","0","14","2","0",,"3"
"Tucker, Kyle",663656,2023,"30","5","0","0","0","0","2","0","0","22","8","0",,"2"
"Thomas, Lane",657041,2023,"20","4","0","1","0","0","1","0","0","16","4","0",,"1"
"Huff, Sam",669087,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"DeJong, Paul",657557,2023,"4","3","0","1","1","0","0","0","0","4","0","0",,"0"
"Cabrera, Miguel",408234,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Rojas, Josh",668942,2023,"12","0","0","0","0","0","0","0","0","8","3","1",,"0"
"Canzone, Dominic",686527,2023,"1","0","0","0","0","0","0","0","0","0","1","0",,"0"
"Kieboom, Carter",666198,2023,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Rosario, Eddie",592696,2023,"3","2","1","1","0","0","0","0","0","3","0","0",,"0"
"Kelly, Carson",608348,2023,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Espinal, Santiago",669289,2023,"2","1","0","0","0","0","0","0","0","2","0","0",,"0"
"Domínguez, Jasson",691176,2023,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Moore, Dylan",664238,2023,"7","3","0","0","0","0","2","0","0","6","1","0",,"2"
"Meckler, Wade",685133,2023,"0","0","0","0","1","0","1","0","0","0","0","0",,"1"
"Stevenson, Andrew",664057,2023,"4","1","0","0","0","0","0","0","0","2","2","0",,"0"
"Bruján, Vidal",660644,2023,"3","2","0","0","0","0","0","0","0","2","1","0",,"0"
"Ruiz, Keibert",660688,2023,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Gallagher, Cam",595956,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Kessinger, Grae",666197,2023,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Horwitz, Spencer",687462,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Castro, Willi",650489,2023,"33","5","0","0","0","0","2","0","0","24","6","3",,"2"
"Martini, Nick",605361,2023,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Hayes, Ke'Bryan",663647,2023,"10","6","0","0","0","0","0","0","0","5","5","0",,"0"
"Wong, Kolten",543939,2023,"3","2","0","0","0","0","0","0","0","2","1","0",,"0"
"Williams, Luke",663897,2023,"4","0","0","0","0","0","0","0","0","3","1","0",,"0"
"Taveras, Leody",665750,2023,"14","3","1","0","1","0","1","0","0","10","4","0",,"1"
