"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Urshela, Gio",570482,2025,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Lopez, Nicky",670032,2025,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Duran, Ezequiel",677649,2025,"11","2","0","0","0","0","0","1","0","10","1","0",,"1"
"Kirk, Alejandro",672386,2025,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Greene, Riley",682985,2025,"2","1","0","0","0","0","0","0","0","2","0","0",,"0"
"McCormick, Chas",676801,2025,"2","3","0","0","0","0","2","0","0","2","0","0",,"2"
"Lowe, Brandon",664040,2025,"3","1","0","1","0","0","0","0","0","3","0","0",,"0"
"Davidson, Logan",669722,2025,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Brown, Seth",664913,2025,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Adams, Riley",656180,2025,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Frelick, Sal",686217,2025,"19","6","0","0","1","0","3","0","0","18","1","0",,"3"
"Helman, Michael",680737,2025,"4","0","0","0","0","0","0","0","0","4","0","0",,"0"
"Cabrera, Oswaldo",665828,2025,"0","1","0","0","1","0","0","0","0","0","0","0",,"0"
"Hilliard, Sam",656541,2025,"2","1","0","0","0","0","0","0","0","2","0","0",,"0"
"Lee, Jung Hoo",808982,2025,"10","2","1","0","0","0","1","0","0","9","1","0",,"1"
"Higashioka, Kyle",543309,2025,"3","1","0","0","0","0","0","0","0","3","0","0",,"0"
"Wagaman, Eric",676572,2025,"4","1","0","0","1","0","0","0","0","3","1","0",,"0"
"Busch, Michael",683737,2025,"4","0","0","0","2","0","1","0","0","4","0","0",,"1"
"Eaton, Nate",681987,2025,"9","1","1","0","0","0","0","0","0","9","0","0",,"0"
