"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Williams, Luke",663897,2022,"11","4","0","0","0","0","1","0","0","7","4","0",,"1"
"Arraez, Luis",650333,2022,"4","4","0","0","0","0","0","0","0","3","1","0",,"0"
"Donaldson, Josh",518626,2022,"2","2","0","0","0","0","1","0","0","1","1","0",,"1"
"Witt Jr., Bobby",677951,2022,"30","5","2","0","0","0","1","1","0","27","3","0",,"2"
"Benson, Will",666181,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Aguilar, Ryan",666922,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Caratini, Victor",605170,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Muncy, Max",571970,2022,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Adams, Riley",656180,2022,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Villar, David",681584,2022,"0","0","0","1","1","0","0","0","0","0","0","0",,"0"
"Abrams, CJ",682928,2022,"7","4","0","0","0","0","3","0","0","6","0","1",,"3"
"Whitefield, Aaron",664334,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Kelenic, Jarred",672284,2022,"5","2","0","0","0","0","2","0","0","5","0","0",,"2"
"Cruz Jr., Nelson",443558,2022,"4","0","0","0","0","0","0","0","0","4","0","0",,"0"
"Smith, Dominic",642086,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Ruiz, Esteury",665923,2022,"1","1","1","0","0","0","0","0","0","0","1","0",,"0"
"Sanó, Miguel",593934,2022,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Haseley, Adam",656514,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Knapp, Andrew",595284,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Lowrie, Jed",476704,2022,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Fortes, Nick",663743,2022,"5","3","0","0","0","0","1","0","0","5","0","0",,"1"
"Stallings, Jacob",607732,2022,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Beckham, Tim",542921,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Wendle, Joey",621563,2022,"12","1","2","0","0","0","1","2","0","11","1","0",,"3"
"Vaughn, Andrew",683734,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Isbel, Kyle",664728,2022,"9","6","0","0","1","0","1","0","0","9","0","0",,"1"
"Rojas, Josh",668942,2022,"23","3","0","0","1","0","1","0","0","20","3","0",,"1"
"Ortega, Rafael",542364,2022,"12","7","0","0","3","0","0","0","0","9","2","1",,"0"
"Brennan, Will",686823,2022,"2","1","0","0","0","0","0","0","0","2","0","0",,"0"
"Aquino, Aristides",606157,2022,"2","2","1","0","1","0","0","1","0","2","0","0",,"1"
"Florial, Estevan",664314,2022,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Bellinger, Cody",641355,2022,"14","3","0","0","0","0","0","0","0","13","1","0",,"0"
"Nola, Austin",543592,2022,"2","1","0","0","2","0","1","0","0","1","1","0",,"1"
"Arias, Gabriel",672356,2022,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Ward, Taylor",621493,2022,"5","2","1","0","1","0","1","0","0","4","1","0",,"1"
"Raley, Luke",670042,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Hager, Jake",606993,2022,"0","0","0","0","0","0","1","0","0","0","0","0",,"1"
"Thomas, Cody",642137,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Escobar, Alcides",444876,2022,"1","0","1","0","0","0","0","0","0","1","0","0",,"0"
"Clemens, Kody",665019,2022,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Trammell, Taylor",666211,2022,"2","1","0","0","0","0","0","0","0","2","0","0",,"0"
"Ahmed, Nick",605113,2022,"0","1","0","0","0","0","1","0","0","0","0","0",,"1"
"Baty, Brett",683146,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Culberson, Charlie",518586,2022,"2","2","1","0","0","0","1","0","0","2","0","0",,"1"
"Hoerner, Nico",663538,2022,"20","2","0","0","1","0","2","0","0","16","4","0",,"2"
"Pache, Cristian",665506,2022,"2","2","0","0","0","0","2","0","0","2","0","0",,"2"
"Barrero, José",676480,2022,"4","1","0","0","0","0","0","0","0","3","1","0",,"0"
"Hummel, Cooper",669450,2022,"4","1","0","0","0","0","0","0","0","3","1","0",,"0"
"Wade Jr., LaMonte",664774,2022,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Bregman, Alex",608324,2022,"1","1","0","1","1","0","0","0","0","0","1","0",,"0"
"Hensley, David",682073,2022,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Rodríguez, Julio",677594,2022,"25","6","1","0","2","0","2","1","0","25","0","0",,"3"
"Santander, Anthony",623993,2022,"0","2","0","0","2","0","1","0","0","0","0","0",,"1"
"Leblanc, Charles",641779,2022,"4","0","1","1","0","0","0","1","1","4","0","0",,"2"
"Díaz, Yandy",650490,2022,"3","3","0","0","0","0","1","0","0","3","0","0",,"1"
