"last_name, first_name","player_id","year","r_total_stolen_base","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"DeLuca, Jonny",676356,2024,"16","6","0","0","0","0","1","0","0","15","1","0",,"1"
"Wynns, Austin",642851,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Vogelbach, Daniel",596129,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Gordon, Nick",624503,2024,"5","4","1","0","0","0","0","0","0","5","0","0",,"0"
"Turang, Brice",668930,2024,"50","4","1","1","1","0","0","1","0","40","9","1",,"1"
"Rosario, Amed",642708,2024,"13","5","0","0","1","0","0","0","0","12","1","0",,"0"
"Varsho, Daulton",662139,2024,"10","2","0","0","1","0","1","0","0","8","2","0",,"1"
"Kemp, Tony",643393,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Jordan, Levi",682119,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Bliss, Ryan",669208,2024,"5","3","0","0","0","0","0","0","0","3","2","0",,"0"
"Dezenzo, Zach",701305,2024,"0","0","0","0","1","0","0","0","0","0","0","0",,"0"
"Schanuel, Nolan",694384,2024,"10","1","0","0","1","0","1","0","0","8","2","0",,"1"
"Lindor, Francisco",596019,2024,"29","4","0","0","3","0","1","0","0","24","5","0",,"1"
"Rogers, Jake",668670,2024,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Hedges, Austin",595978,2024,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Wagaman, Eric",676572,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Herrera, Jose",645444,2024,"0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"Stott, Bryson",681082,2024,"32","3","0","0","1","0","1","1","0","31","1","0",,"2"
"Espinal, Santiago",669289,2024,"11","0","1","0","1","0","1","0","0","9","2","0",,"1"
"Madrigal, Nick",663611,2024,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Wiemer Jr., Joey",686894,2024,"1","1","0","0","0","0","1","0","0","1","0","0",,"1"
"Díaz, Yandy",650490,2024,"0","0","0","0","0","0","1","0","0","0","0","0",,"1"
"Peralta, David",444482,2024,"2","0","0","0","0","0","0","0","0","2","0","0",,"0"
"Kennedy, Buddy",671083,2024,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"McCormick, Chas",676801,2024,"8","2","0","0","0","0","0","0","0","8","0","0",,"0"
"Chapman, Matt",656305,2024,"15","1","1","0","2","0","0","0","0","12","2","1",,"0"
"Colás, Oscar",693049,2024,"0","1","0","0","1","0","0","0","0","0","0","0",,"0"
"Caballero, José",676609,2024,"44","14","2","0","0","0","8","1","0","31","13","0",,"9"
"Santana, Carlos",467793,2024,"4","0","0","0","1","0","0","0","0","4","0","0",,"0"
"Laureano, Ramón",657656,2024,"8","1","1","1","0","0","1","0","0","4","4","0",,"1"
"Romo, Drew",691011,2024,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"LeMahieu, DJ",518934,2024,"0","1","0","0","0","0","0","0","0","0","0","0",,"0"
"Trevino, Jose",624431,2024,"1","0","0","0","0","0","0","0","0","1","0","0",,"0"
"Candelario, Jeimer",600869,2024,"4","2","0","1","1","0","0","0","0","4","0","0",,"0"
