"last_name, first_name","player_id","year","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_stolen_base_pct","r_total_pickoff"
"Kiner-Falefa, Isiah",643396,2021,"4","1","0","0","0","1","0","0","17","3","0",,"1"
"McCutchen, Andrew",457705,2021,"1","0","0","2","0","0","0","0","5","0","1",,"0"
"Taylor, Michael A.",572191,2021,"5","1","1","3","0","2","0","1","11","3","0",,"3"
"Story, Trevor",596115,2021,"6","0","0","1","0","2","0","0","19","1","0",,"2"
"Torres, Gleyber",650402,2021,"4","2","0","0","0","1","1","0","11","3","0",,"2"
"Hernández, Teoscar",606192,2021,"4","0","0","1","0","1","0","0","11","1","0",,"1"
"Chapman, Matt",656305,2021,"2","0","0","0","0","0","0","0","3","0","0",,"0"
"Fletcher, David",664058,2021,"2","1","0","2","0","0","1","0","11","4","0",,"1"
"India, Jonathan",663697,2021,"2","1","0","3","0","2","1","0","7","5","0",,"3"
"Lowe, Nathaniel",663993,2021,"0","0","0","1","0","0","0","0","8","0","0",,"0"
"Brantley Jr., Michael",488726,2021,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Perez, Salvador",521692,2021,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Harrison, Josh",543281,2021,"3","2","0","0","0","2","2","0","8","1","0",,"4"
"Olson, Matt",621566,2021,"1","0","0","0","0","1","0","0","4","0","0",,"1"
"Hernández, César",514917,2021,"1","0","0","0","0","1","0","0","1","0","0",,"1"
"Chisholm Jr., Jazz",665862,2021,"7","1","0","2","0","2","0","0","18","5","0",,"2"
"Edman, Tommy",669242,2021,"4","1","0","0","0","0","0","0","28","2","0",,"0"
"Farmer, Kyle",571657,2021,"2","0","1","1","0","0","0","1","2","0","0",,"1"
"Happ, Ian",664023,2021,"0","1","1","3","0","0","0","0","8","1","0",,"0"
"Lowe, Brandon",664040,2021,"1","0","0","0","0","0","0","0","7","0","0",,"0"
"Hernández, Enrique",571771,2021,"0","0","0","3","0","1","0","0","1","0","0",,"1"
"Schoop, Jonathan",570731,2021,"0","0","0","0","0","0","0","0","1","1","0",,"0"
"Dozier, Hunter",641531,2021,"3","1","0","1","0","0","1","0","5","0","0",,"1"
"Harper, Bryce",547180,2021,"3","0","0","0","0","0","0","0","7","5","1",,"0"
"Hays, Austin",669720,2021,"3","0","0","1","0","0","0","0","4","0","0",,"0"
"Gurriel Jr., Lourdes",666971,2021,"2","1","0","1","0","0","0","0","1","0","0",,"0"
"Donaldson, Josh",518626,2021,"0","0","0","1","0","0","0","0","0","0","0",,"0"
"Peralta, David",444482,2021,"1","0","0","2","0","0","0","0","2","0","0",,"0"
"Newman, Kevin",621028,2021,"1","0","0","2","0","0","0","0","6","0","0",,"0"
"Soto, Juan",665742,2021,"7","0","0","2","0","3","1","0","9","0","0",,"4"
"Crawford, J.P.",641487,2021,"6","0","0","1","0","2","0","0","3","0","0",,"2"
"Arenado, Nolan",571448,2021,"0","0","0","0","0","0","0","0","2","0","0",,"0"
"Realmuto, J.T.",592663,2021,"2","0","1","3","0","0","0","0","11","1","1",,"0"
"Grossman, Robbie",543257,2021,"5","0","0","2","0","2","0","0","19","1","0",,"2"
"Riley, Austin",663586,2021,"1","0","0","0","0","1","0","0","0","0","0",,"1"
"García, Avisaíl",541645,2021,"4","0","0","0","0","3","0","0","8","0","0",,"3"
"Smith, Pavin",656976,2021,"0","0","0","3","0","0","0","0","1","0","0",,"0"
"Rosario, Amed",642708,2021,"0","0","0","0","0","0","0","0","13","0","0",,"0"
"Ohtani, Shohei",660271,2021,"8","1","1","2","0","1","0","0","24","1","1",,"1"
"Stanton, Giancarlo",519317,2021,"0","0","0","1","0","0","0","0","0","0","0",,"0"
"Walsh, Jared",665120,2021,"1","0","0","0","0","0","0","0","2","0","0",,"0"
"Ramírez, José",608070,2021,"4","0","0","0","0","0","0","0","22","5","0",,"0"
"Turner, Justin",457759,2021,"0","0","0","0","0","0","0","0","2","1","0",,"0"
"Frazier, Adam",624428,2021,"4","0","1","3","0","3","0","0","8","2","0",,"3"
"Tucker, Kyle",663656,2021,"1","0","1","2","0","1","0","1","13","1","0",,"2"
"Guerrero Jr., Vladimir",665489,2021,"1","0","0","1","0","1","0","0","3","1","0",,"1"
"Pham, Tommy",502054,2021,"5","1","0","1","0","0","1","0","13","0","1",,"1"
"Moncada, Yoán",660162,2021,"2","0","0","1","0","0","0","0","3","0","0",,"0"
"Seager, Kyle",572122,2021,"1","0","0","1","0","0","0","0","2","1","0",,"0"
"Lowrie, Jed",476704,2021,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Alonso, Pete",624413,2021,"0","0","0","1","0","1","0","0","3","0","0",,"1"
"Bryant, Kris",592178,2021,"2","0","0","1","0","0","0","0","10","0","0",,"0"
"Martinez, J.D.",502110,2021,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Abreu, José",547989,2021,"0","0","0","0","0","0","0","0","1","0","0",,"0"
"Lopez, Nicky",670032,2021,"1","0","0","1","0","0","1","0","16","6","0",,"1"
"Benintendi, Andrew",643217,2021,"8","1","0","0","0","1","0","0","8","0","0",,"1"
"Villar, Jonathan",542340,2021,"6","1","0","1","0","5","1","1","12","2","0",,"7"
"Bogaerts, Xander",593428,2021,"0","1","0","0","0","0","0","0","2","3","0",,"0"
"Canha, Mark",592192,2021,"2","0","0","0","0","1","0","1","7","5","0",,"2"
"Sanó, Miguel",593934,2021,"1","0","0","0","0","0","0","0","1","1","0",,"0"
"Yastrzemski, Mike",573262,2021,"0","0","0","0","0","1","0","0","4","0","0",,"1"
"Aguilar, Jesús",542583,2021,"0","0","0","0","0","0","0","0","0","0","0",,"0"
"Mountcastle, Ryan",663624,2021,"3","0","0","0","0","1","0","0","4","0","0",,"1"
"Gallo, Joey",608336,2021,"0","0","0","1","0","0","0","0","5","1","0",,"0"
"Hosmer, Eric",543333,2021,"4","0","0","2","0","0","0","0","5","0","0",,"0"
"García, Adolis",666969,2021,"5","0","0","0","0","3","0","0","13","1","2",,"3"
"Tapia, Raimel",606132,2021,"5","1","0","2","0","3","0","0","19","1","0",,"3"
"Taylor, Chris",621035,2021,"0","1","0","1","0","0","0","1","11","1","1",,"1"
"Votto, Joey",458015,2021,"0","0","0","0","0","0","0","0","0","1","0",,"0"
"Báez, Javier",595879,2021,"4","1","0","3","0","0","1","0","13","5","0",,"1"
"Rizzo, Anthony",519203,2021,"2","0","0","1","0","1","1","0","6","0","0",,"2"
