"last_name, first_name","player_id","year","pop_2b_sba_count","pop_2b_sba","pop_2b_sb","pop_2b_cs","pop_3b_sba_count","pop_3b_sba","pop_3b_sb","pop_3b_cs","exchange_2b_3b_sba","maxeff_arm_2b_3b_sba"
"Walker, Christian",572233,2019,,,,,,,,,,
"Harper, Bryce",547180,2019,,,,,,,,,,
"Chapman, Matt",656305,2019,,,,,,,,,,
"Castro, Starlin",516770,2019,,,,,,,,,,
"Gordon, Alex",460086,2019,,,,,,,,,,
"DeJong, Paul",657557,2019,,,,,,,,,,
"Moncada, Yoán",660162,2019,,,,,,,,,,
"Garcia, Leury",544725,2019,,,,,,,,,,
"Voit III, Luke",572228,2019,,,,,,,,,,
"Gardner, Brett",458731,2019,,,,,,,,,,
"Lindor, Francisco",596019,2019,,,,,,,,,,
"Yelich, Christian",592885,2019,,,,,,,,,,
"Gurriel Jr., Yuli",493329,2019,,,,,,,,,,
"Springer III, George",543807,2019,,,,,,,,,,
"Altuve, Jose",514888,2019,,,,,,,,,,
"Ramírez, José",608070,2019,,,,,,,,,,
"Robles, Victor",645302,2019,,,,,,,,,,
"Iglesias, Jose",578428,2019,,,,,,,,,,
"Castellanos, Nick",592206,2019,,,,,,,,,,
"Martinez, J.D.",502110,2019,,,,,,,,,,
"Belt, Brandon",474832,2019,,,,,,,,,,
"Abreu, José",547989,2019,,,,,,,,,,
"Marte, Ketel",606466,2019,,,,,,,,,,
"Story, Trevor",596115,2019,,,,,,,,,,
"Pujols, Albert",405395,2019,,,,,,,,,,
"Santana, Carlos",467793,2019,,,,,,,,,,
"Choo, Shin-Soo",425783,2019,,,,,,,,,,
"LeMahieu, DJ",518934,2019,,,,,,,,,,
"Cain, Lorenzo",456715,2019,,,,,,,,,,
"Fowler, Dexter",451594,2019,,,,,,,,,,
"Semien, Marcus",543760,2019,,,,,,,,,,
"Santana, Danny",542454,2019,,,,,,,,,,
"Acuña Jr., Ronald",660670,2019,,,,,,,,,,
"Arenado, Nolan",571448,2019,,,,,,,,,,
"Grandal, Yasmani",518735,2019,"45","2.07","2.06","2.09","2","1.66","1.67","1.66","0.72","78.5"
"Báez, Javier",595879,2019,,,,,,,,,,
"McNeil, Jeff",643446,2019,,,,,,,,,,
"Bregman, Alex",608324,2019,,,,,,,,,,
"Odor, Rougned",596059,2019,,,,,,,,,,
"Longoria, Evan",446334,2019,,,,,,,,,,
"Kepler, Max",596146,2019,,,,,,,,,,
"Frazier, Adam",624428,2019,,,,,,,,,,
"Bogaerts, Xander",593428,2019,,,,,,,,,,
"Trout, Mike",545361,2019,,,,,,,,,,
"Benintendi, Andrew",643217,2019,,,,,,,,,,
"Sánchez, Yolmer",570560,2019,,,,,,,,,,
"Muncy, Max",571970,2019,,,,,,,,,,
"Devers, Rafael",646240,2019,,,,,,,,,,
"Turner, Trea",607208,2019,,,,,,,,,,
"Vogelbach, Daniel",596129,2019,,,,,,,,,,
"Bryant, Kris",592178,2019,,,,,,,,,,
"Hosmer, Eric",543333,2019,,,,,,,,,,
"Ozuna, Marcell",542303,2019,,,,,,,,,,
"Albies, Ozzie",645277,2019,,,,,,,,,,
"Moran, Colin",592567,2019,,,,,,,,,,
"Pillar, Kevin",607680,2019,,,,,,,,,,
"Dozier, Hunter",641531,2019,,,,,,,,,,
"Smith, Mallex",605480,2019,,,,,,,,,,
"Vázquez, Christian",543877,2019,"27","1.98","1.94","2","3","1.55","1.63","1.52","0.71","81.5"
"Meadows, Austin",640457,2019,,,,,,,,,,
"Blackmon, Charlie",453568,2019,,,,,,,,,,
"Rizzo, Anthony",519203,2019,,,,,,,,,,
"Grichuk, Randal",545341,2019,,,,,,,,,,
"Anderson, Brian",605119,2019,,,,,,,,,,
"Merrifield, Whit",593160,2019,,,,,,,,,,
"Betts, Mookie",605141,2019,,,,,,,,,,
"Mancini III, Trey",641820,2019,,,,,,,,,,
"Arcia, Orlando",606115,2019,,,,,,,,,,
"Calhoun, Kole",594777,2019,,,,,,,,,,
"Votto, Joey",458015,2019,,,,,,,,,,
"Fletcher, David",664058,2019,,,,,,,,,,
"Soler, Jorge",624585,2019,,,,,,,,,,
"Newman, Kevin",621028,2019,,,,,,,,,,
"Pederson, Joc",592626,2019,,,,,,,,,,
"García, Avisaíl",541645,2019,,,,,,,,,,
"Escobar, Eduardo",500871,2019,,,,,,,,,,
"Ramos, Wilson",467092,2019,"59","2","2","2.01","5","1.57","1.57",,"0.71","81.6"
"Bellinger, Cody",641355,2019,,,,,,,,,,
"Swanson, Dansby",621020,2019,,,,,,,,,,
"Hernández, César",514917,2019,,,,,,,,,,
"Segura, Jean",516416,2019,,,,,,,,,,
"Rosario, Eddie",592696,2019,,,,,,,,,,
"Machado, Manny",592518,2019,,,,,,,,,,
"Cabrera, Miguel",408234,2019,,,,,,,,,,
"Rendon, Anthony",543685,2019,,,,,,,,,,
"Olson, Matt",621566,2019,,,,,,,,,,
"Realmuto, J.T.",592663,2019,"38","1.88","1.89","1.88","2","1.42","1.51","1.34","0.68","88.4"
"Conforto, Michael",624424,2019,,,,,,,,,,
